gbifID,datasetKey,occurrenceID,kingdom,phylum,class,order,family,genus,species,infraspecificEpithet,taxonRank,scientificName,verbatimScientificName,verbatimScientificNameAuthorship,countryCode,locality,stateProvince,occurrenceStatus,individualCount,publishingOrgKey,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,coordinatePrecision,elevation,elevationAccuracy,depth,depthAccuracy,eventDate,day,month,year,taxonKey,speciesKey,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,identifiedBy,dateIdentified,license,rightsHolder,recordedBy,typeStatus,establishmentMeans,lastInterpreted,mediaType,issue
986110363,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD_CAN:OBS139213539,Animalia,Chordata,Aves,Strigiformes,Strigidae,Asio,Asio flammeus,,SPECIES,"Asio flammeus (Pontoppidan, 1763)",Asio flammeus,,CA,Delta,British Columbia,PRESENT,4,e2e717bf-551a-4917-bdc9-4fa0f342c530,49.08556,-123.09254,,,,,,,2012-01-09,9,1,2012,2497295,2497295,HUMAN_OBSERVATION,CLO,EBIRD_CAN,OBS139213539,,,,CC_BY_4_0,,obsr300103,,,2024-01-24T21:08:20.134Z,,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
986004714,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD_CAN:OBS136271572,Animalia,Chordata,Aves,Strigiformes,Strigidae,Asio,Asio flammeus,,SPECIES,"Asio flammeus (Pontoppidan, 1763)",Asio flammeus,,CA,Salmon ARM,British Columbia,PRESENT,1,e2e717bf-551a-4917-bdc9-4fa0f342c530,50.70308,-119.27186,,,,,,,2012-01-15,15,1,2012,2497295,2497295,HUMAN_OBSERVATION,CLO,EBIRD_CAN,OBS136271572,,,,CC_BY_4_0,,obsr30089,,,2024-01-24T20:24:07.094Z,,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
984771875,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS101233390,Animalia,Chordata,Aves,Strigiformes,Strigidae,Asio,Asio flammeus,,SPECIES,"Asio flammeus (Pontoppidan, 1763)",Asio flammeus,,CA,Cowichan Bay,British Columbia,PRESENT,1,e2e717bf-551a-4917-bdc9-4fa0f342c530,48.84,-123.639404,,,,,,,1998-12-10,10,12,1998,2497295,2497295,HUMAN_OBSERVATION,CLO,EBIRD,OBS101233390,,,,CC_BY_4_0,,obsr225375,,,2024-01-24T21:07:53.053Z,,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
984756607,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS100897442,Animalia,Chordata,Aves,Strigiformes,Strigidae,Asio,Asio flammeus,,SPECIES,"Asio flammeus (Pontoppidan, 1763)",Asio flammeus,,CA,Cowichan Bay,British Columbia,PRESENT,1,e2e717bf-551a-4917-bdc9-4fa0f342c530,48.84,-123.639404,,,,,,,1996-12-14,14,12,1996,2497295,2497295,HUMAN_OBSERVATION,CLO,EBIRD,OBS100897442,,,,CC_BY_4_0,,obsr225375,,,2024-01-24T21:30:08.042Z,,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
983969032,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS82247684,Animalia,Chordata,Aves,Strigiformes,Strigidae,Asio,Asio flammeus,,SPECIES,"Asio flammeus (Pontoppidan, 1763)",Asio flammeus,,CA,Chilliwack,British Columbia,PRESENT,1,e2e717bf-551a-4917-bdc9-4fa0f342c530,49.15403,-121.95356,,,,,,,2009-12-19,19,12,2009,2497295,2497295,HUMAN_OBSERVATION,CLO,EBIRD,OBS82247684,,,,CC_BY_4_0,,obsr148312,,,2024-01-24T21:30:53.165Z,,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
982972118,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS62154502,Animalia,Chordata,Aves,Strigiformes,Strigidae,Asio,Asio flammeus,,SPECIES,"Asio flammeus (Pontoppidan, 1763)",Asio flammeus,,CA,Reifel Bird Sanctuary,British Columbia,PRESENT,2,e2e717bf-551a-4917-bdc9-4fa0f342c530,49.1,-123.185,,,,,,,2009-01-29,29,1,2009,2497295,2497295,HUMAN_OBSERVATION,CLO,EBIRD,OBS62154502,,,,CC_BY_4_0,,obsr132240,,,2024-01-24T20:23:06.386Z,,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
982772255,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD_CAN:OBS59048612,Animalia,Chordata,Aves,Strigiformes,Strigidae,Asio,Asio flammeus,,SPECIES,"Asio flammeus (Pontoppidan, 1763)",Asio flammeus,,CA,Kitimat,British Columbia,PRESENT,2,e2e717bf-551a-4917-bdc9-4fa0f342c530,54.05809,-128.64659,,,,,,,2008-11-18,18,11,2008,2497295,2497295,HUMAN_OBSERVATION,CLO,EBIRD_CAN,OBS59048612,,,,CC_BY_4_0,,obsr109390,,,2024-01-24T20:22:22.158Z,,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
981167905,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS33046235,Animalia,Chordata,Aves,Strigiformes,Strigidae,Asio,Asio flammeus,,SPECIES,"Asio flammeus (Pontoppidan, 1763)",Asio flammeus,,CA,Delta,British Columbia,PRESENT,2,e2e717bf-551a-4917-bdc9-4fa0f342c530,49.10414,-122.98453,,,,,,,1989-12-23,23,12,1989,2497295,2497295,HUMAN_OBSERVATION,CLO,EBIRD,OBS33046235,,,,CC_BY_4_0,,obsr16582,,,2024-01-24T21:06:21.854Z,,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
981167710,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS33055629,Animalia,Chordata,Aves,Strigiformes,Strigidae,Asio,Asio flammeus,,SPECIES,"Asio flammeus (Pontoppidan, 1763)",Asio flammeus,,CA,Prince George,British Columbia,PRESENT,5,e2e717bf-551a-4917-bdc9-4fa0f342c530,53.91995,-122.75151,,,,,,,1996-11-09,9,11,1996,2497295,2497295,HUMAN_OBSERVATION,CLO,EBIRD,OBS33055629,,,,CC_BY_4_0,,obsr16582,,,2024-01-24T21:30:19.312Z,,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
980822474,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS28542512,Animalia,Chordata,Aves,Strigiformes,Strigidae,Asio,Asio flammeus,,SPECIES,"Asio flammeus (Pontoppidan, 1763)",Asio flammeus,,CA,Nanaimo,British Columbia,PRESENT,,e2e717bf-551a-4917-bdc9-4fa0f342c530,49.16982,-123.95048,,,,,,,2006-02-10,10,2,2006,2497295,2497295,HUMAN_OBSERVATION,CLO,EBIRD,OBS28542512,,,,CC_BY_4_0,,obsr90210,,,2024-01-24T21:30:12.917Z,,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
